Steps,Mean,Standard Deviation
67,-0.0006298918782700523,0.06509777216234044
68,-0.0005499694715115441,0.06490348617091943
69,-0.0005626819469111507,0.06488833457246326
70,-0.0006114965199443192,0.06463535837526291
71,-0.0005471009216147458,0.06470267446901731
72,-0.0005927425238803822,0.06514459886904297
73,-0.0005924519032304517,0.06517323709085765
74,-0.0005817860125762011,0.06540421582646389
75,-0.0002666049536792588,0.06532154926724466
76,-0.0002732861085777374,0.06448725589754943
77,-0.000762668458695339,0.06493690853933208
78,-0.00030246659146546334,0.06505148005865896
79,-0.00039422673162770597,0.06511741980637036
80,-0.0005899873997983966,0.0654220546393272
81,-0.0005547753084049344,0.06594584895635437
82,-0.0005528402054432872,0.0654842385291786
83,-0.0005323335093361493,0.06460683220476202
84,-0.0005933303652858445,0.06503949115122268
85,-0.0006252648442375079,0.06511331574764398
86,-0.0005718238851821631,0.06670186461959261
87,-0.0005186810588969424,0.06543579010966694
88,-0.0005241301300820814,0.0657954738271583
89,-0.0005944444391110258,0.06492950549714274
90,-0.0005421753228051649,0.06470779539631448
91,-0.0005805569049104786,0.06578220584185604
92,-0.0005285199203187251,0.06644533973246344
93,-8.343558296932753e-05,0.06602432799782423
94,-0.0005455144242307876,0.06814992460919138
95,-0.0007618464215427448,0.09129262742805565
96,-0.0007156751548024768,0.09059481965111951
97,-0.00033293181490903843,0.09328655819475075
98,-0.0002112324917198674,0.17174054317437404
99,-0.0006888989103825655,0.41907059366390625
100,-0.0007432744203907268,0.5656160272811005
101,-0.0006194646954351269,0.5610982736644476
102,-0.00026133178130850076,0.1431902821232339
103,-0.0002861175058800942,0.12630462225458045
104,-0.00021949601593625507,0.12195588123759864
105,-0.00023209580953295264,0.12066155548569288
106,-0.0002503779580473289,0.11893026843144884
107,-0.0006603047088753419,0.1149509246075949
108,-0.0005986637546200739,0.1382962665542395
109,-0.0005261236739787837,0.16415029607382234
110,-0.0005602254836077376,0.1847852948967398
111,-0.0005621005376086018,0.17084780699017998
112,-0.0005198528776460421,0.25857207850811076
113,-9.732594921518735e-05,0.2793929360643477
114,-0.0001969933758940143,0.24678203430449885
115,-0.00019687908606537725,0.19070492648835038
116,-0.00016429930878894075,0.22804616206462708
117,-0.00030809326549224777,0.12386036710229939
118,-0.0005134047664762638,0.12938764847292455
119,-0.0007227101713627417,0.13084985478670494
120,-0.0006798756060096961,0.13605512874356065
121,-0.0006209240387846205,0.13861929485608068
122,-0.000664758172130754,0.13936223208229756
123,-0.0005787399558392934,0.14350105084246514
124,-0.0006054602313637018,0.14506928206188174
125,-0.0006276082657322517,0.14981804939995208
126,-0.000582605385686171,0.15383086882871658
127,-6.216953871261931e-05,0.15040623002212136
128,-0.00010143018288292619,0.15227397359123385
129,-0.00016201370421926753,0.15663259551966677
130,-0.00022125471607545739,0.15898759591841477
131,-0.00013517733883742147,0.1582505442743623
132,-0.00028664527432438914,0.153198371530217
133,-0.0006528616857869728,0.1565973611579665
